index,_id,ID,x,y,group,status,time
0,608e5ec60f0d8fee49b9c385,0000021400000214,11843,1582,1,0.0,2021/04/30 21:04:06:614
667105,60992b0bc346bf88cf6ae403,0000021400000214,14454,1068,1,0.0,2021/05/10 14:46:03:792
667668,60992b657600f037c76d9673,0000021400000214,13781,1167,1,0.0,2021/05/10 14:47:33:004
667793,60992b853e229a226d557c3e,0000021400000214,14375,886,1,0.0,2021/05/10 14:48:05:583
668042,60992ba01e5934d162f59bad,0000021400000214,13744,1196,1,0.0,2021/05/10 14:48:32:122
668082,60992bbbee3aae9e0469aedd,0000021400000214,13731,1218,1,0.0,2021/05/10 14:48:59:927
668145,60992bf37c77f2a367b18b88,0000021400000214,13663,1189,1,0.0,2021/05/10 14:49:55:553
669325,609cc41c950efbf8f58dfb6f,0000021400000214,15583,1017,1,0.0,2021/05/13 08:15:56:077
696139,609cca5b423de8f97a8bcb81,0000021400000214,13858,1089,1,0.0,2021/05/13 08:42:35:233
709741,609ccd8d116ff60c5ba926e3,0000021400000214,16394,900,1,0.0,2021/05/13 08:56:13:302
758977,60c4bd2df16f7f52faea6601,0000000000000100,100,202,238,,2021/03/16 13:29:11:127
758978,60c4c0b6f16f7f52faea6602,0000000000000100,100,202,238,,2021/03/15 13:29:11:127
758979,60cb23c7223fdec6b48acbcb,0000021800000218,4757,263,3,0.0,2021/06/17 12:28:23:469
759208,60cb2459223fdec6b48accb0,0000021800000218,4165,515,3,0.0,2021/06/17 12:30:49:130
759687,60cb24a4223fdec6b48ace8f,0000021800000218,4773,210,3,0.0,2021/06/17 12:32:04:895
759725,60cb2e92ab77810bdfe4a918,0000021400000214,6234,1567,3,0.0,2021/06/17 13:14:26:703
759746,60cb2ea2223a338107374049,0000021400000214,6370,522,3,0.0,2021/06/17 13:14:41:997
759859,60cb2ea8223a3381073740ba,0000021800000218,0,0,0,0.0,
759888,60cb2ede223a3381073740d7,0000021400000214,6447,1322,3,0.0,2021/06/17 13:15:42:021
759965,60cb2f3d004b88d6ae252175,0000021400000214,4324,586,3,0.0,2021/06/17 13:17:17:296
759988,60cb2f4dd92bf37501bcf02b,0000021400000214,4324,595,3,0.0,2021/06/17 13:17:33:783
760037,60cb2f5fe253e8c1da65dbdc,0000021400000214,4324,585,3,0.0,2021/06/17 13:17:51:413
760079,60cb2f92d80f5d32e6f21f8e,0000021400000214,6345,949,3,0.0,2021/06/17 13:18:41:889
760141,60cb2fcdab65f9debfe1279e,0000021800000218,4660,310,3,0.0,2021/06/17 13:19:41:922
760183,60cb2ff3757bdb76693d3fed,0000021400000214,6265,952,3,0.0,2021/06/17 13:20:19:360
760204,60cb301d3100dc3f8dd670df,0000021400000214,4324,595,3,0.0,2021/06/17 13:21:01:572
760232,60cb306ac6126be6d157879e,0000021400000214,6449,970,3,0.0,2021/06/17 13:22:18:941
760233,60cb310a7738c72b5b5f6665,0000021400000214,4324,657,3,0.0,2021/06/17 13:24:58:373
760303,60cb311e7904fbf6ccf5a4ce,0000021800000218,4663,306,3,0.0,2021/06/17 13:25:18:629
760345,60cb313cde5ed230145dfb23,0000021400000214,6113,1550,3,0.0,2021/06/17 13:25:48:736
760414,60cb32019d5c6406ac0d5869,0000021400000214,6120,1561,3,0.0,2021/06/17 13:29:05:632
760426,60cb3561eb4f2431c824b8e7,0000021400000214,6342,954,3,0.0,2021/06/17 13:43:29:641
760472,60cb3929e071d445938c129c,0000021400000214,4324,601,2,0.0,2021/06/17 13:59:37:910
760494,60cb3978860358ea2964bed3,0000021400000214,4324,575,2,0.0,2021/06/17 14:00:56:154
760515,60cb39b2fa1ea32bed5c2659,0000021400000214,4324,590,2,0.0,2021/06/17 14:01:54:549
760538,60cb39c84a04f6e97e248f17,0000021400000214,4324,585,2,0.0,2021/06/17 14:02:16:719
760732,60cb3a31fb0484dd81e760a1,0000021400000214,6113,1544,2,0.0,2021/06/17 14:04:01:778
760842,60cb3a80fb1ec6c963cd8bd9,0000021400000214,4324,586,2,0.0,2021/06/17 14:05:20:013
760885,60cb3aa4f21bf9a491cc4ea7,0000021400000214,4324,585,2,0.0,2021/06/17 14:05:56:191
760989,60cb3adf36789c6dcc8c0c66,0000021400000214,6084,1369,2,0.0,2021/06/17 14:06:55:671
761013,60cb3b1ef4205ab8d120d0d0,0000021400000214,6344,949,2,0.0,2021/06/17 14:07:58:728
761094,60cb3b3d92460d12e30af623,0000021800000218,4710,296,2,0.0,2021/06/17 14:08:29:638
761141,60cb3b67a62a603c0dd7113a,0000021400000214,4324,591,2,0.0,2021/06/17 14:09:11:217
761238,60cb3b7c4a096f79836cefbc,0000021400000214,4324,591,2,0.0,2021/06/17 14:09:32:107
761239,60cb4498e7338c1273dd7297,0000021400000214,4324,644,2,0.0,2021/06/17 14:48:24:577
761259,60cb455d7b3d61aa30c3d927,0000021400000214,6233,1052,2,0.0,2021/06/17 14:51:41:718
761288,60cb466ee56f5564cc156942,0000021400000214,4324,636,2,0.0,2021/06/17 14:56:14:766
761342,60cb4b789f279c4addf628e6,0000021800000218,4778,206,2,0.0,2021/06/17 15:17:44:890
761345,60cb4d1f14293efcc06ab343,0000021400000214,5146,1494,2,0.0,2021/06/17 15:24:47:299
761448,60cb4ed33544ca77a3f18cd7,0000021800000218,4776,193,2,0.0,2021/06/17 15:32:03:255
761504,60cb4f39ab56d803c41db153,0000021800000218,4776,232,2,0.0,2021/06/17 15:33:45:880
761573,60cb5581ad17394ee5ff5fcd,0000021800000218,4648,316,2,0.0,2021/06/17 16:00:33:754
761691,60cb5587ad17394ee5ff6043,0000021400000214,4324,772,2,0.0,2021/06/17 16:00:39:069
761850,60cb558bad17394ee5ff60e2,0000021800000218,4664,301,2,0.0,2021/06/17 16:00:43:073
782200,60cb57fead17394ee5ffb060,0000021800000218,4675,295,2,0.0,2021/06/17 16:01:53:074
782548,60cb5808ad17394ee5ffb1bc,0000021800000218,4684,291,2,0.0,2021/06/17 16:03:07:766
782566,60cb5809ad17394ee5ffb1ce,0000021800000218,4700,276,2,0.0,2021/06/17 16:04:09:596
783104,60cb581aad17394ee5ffb3e8,0000021800000218,4709,273,2,0.0,2021/06/17 16:04:41:080
784228,60cb583cad17394ee5ffb84c,0000021800000218,4697,282,2,0.0,2021/06/17 16:05:23:135
787662,60cb589ead17394ee5ffc5b6,0000021800000218,4714,266,2,0.0,2021/06/17 16:05:28:948
789750,60cb58dcad17394ee5ffcdde,0000021800000218,4724,255,2,0.0,2021/06/17 16:05:48:828
789792,60cb58ddad17394ee5ffce08,0000021800000218,4734,245,2,0.0,2021/06/17 16:05:59:274
789958,60cb58e2ad17394ee5ffceae,0000021800000218,4745,235,2,0.0,2021/06/17 16:06:45:964
790056,60cb58e4ad17394ee5ffcf10,0000021800000218,4729,249,2,0.0,2021/06/17 16:07:51:288
790350,60cb58ebad17394ee5ffd036,0000021800000218,4738,239,2,0.0,2021/06/17 16:08:54:308
790812,60cb58fbad17394ee5ffd204,0000021800000218,4768,216,2,0.0,2021/06/17 16:09:17:643
791386,60cb590dad17394ee5ffd442,0000021800000218,4772,212,2,0.0,2021/06/17 16:10:28:833
791926,60cb591dad17394ee5ffd65e,0000021800000218,4751,228,2,0.0,2021/06/17 16:10:33:506
792340,60cb592cad17394ee5ffd7fc,0000021800000218,4755,221,2,0.0,2021/06/17 16:10:37:008
792420,60cb5930ad17394ee5ffd84c,0000021800000218,4768,210,2,0.0,2021/06/17 16:10:40:555
793099,60cb5943ad17394ee5ffdaf3,0000021400000214,4324,768,2,0.0,2021/06/17 16:01:27:061
794090,60cb595dad17394ee5ffded2,0000021800000218,4763,220,2,0.0,2021/06/17 16:10:52:214
794118,60cb595ead17394ee5ffdeee,0000021800000218,4765,224,2,0.0,2021/06/17 16:11:01:539
794183,60cb5960ad17394ee5ffdf2f,0000021400000214,4324,771,2,0.0,2021/06/17 16:01:38:550
794255,60cb5963ad17394ee5ffdf77,0000021400000214,4324,771,2,0.0,2021/06/17 16:01:52:566
794288,60cb5964ad17394ee5ffdf98,0000021800000218,4770,214,2,0.0,2021/06/17 16:11:10:891
794317,60cb5965ad17394ee5ffdfb5,0000021400000214,4324,769,2,0.0,2021/06/17 16:01:57:264
794360,60cb5966ad17394ee5ffdfe0,0000021800000218,4776,207,2,0.0,2021/06/17 16:11:20:230
794566,60cb596cad17394ee5ffe0ae,0000021800000218,4777,211,2,0.0,2021/06/17 16:11:21:411
796380,60cb59abad17394ee5ffe7c4,0000021800000218,4754,227,2,0.0,2021/06/17 16:11:38:845
796418,60cb59acad17394ee5ffe7ea,0000021800000218,4739,241,2,0.0,2021/06/17 16:12:12:698
799478,60cb5a05ad17394ee5fff3de,0000021800000218,4719,259,2,0.0,2021/06/17 16:13:50:765
800944,60cb5a3dad17394ee5fff998,0000021800000218,4729,247,2,0.0,2021/06/17 16:14:52:583
801310,60cb5a47ad17394ee5fffb06,0000021800000218,4740,243,2,0.0,2021/06/17 16:14:53:783
801430,60cb5a4bad17394ee5fffb7e,0000021800000218,4729,251,2,0.0,2021/06/17 16:14:58:418
801876,60cb5a5cad17394ee5fffd3c,0000021800000218,4709,271,2,0.0,2021/06/17 16:15:00:840
802108,60cb5a63ad17394ee5fffe24,0000021800000218,4721,257,2,0.0,2021/06/17 16:15:07:779
802566,60cb5a75ad17394ee5ffffee,0000021800000218,4703,272,2,0.0,2021/06/17 16:15:23:082
803750,60cb5a9ead17394ee500048e,0000021800000218,4690,282,2,0.0,2021/06/17 16:15:41:656
804194,60cb5aaead17394ee500064a,0000021800000218,4686,286,2,0.0,2021/06/17 16:15:56:798
804384,60cb5ab8ad17394ee5000708,0000021800000218,4679,294,2,0.0,2021/06/17 16:16:11:995
804450,60cb5abcad17394ee500074a,0000021800000218,4674,303,2,0.0,2021/06/17 16:16:16:653
804566,60cb5ac2ad17394ee50007be,0000021800000218,4688,292,2,0.0,2021/06/17 16:17:01:088
805138,60cb5ad1ad17394ee50009fa,0000021800000218,4703,282,2,0.0,2021/06/17 16:17:02:167
805244,60cb5ad5ad17394ee5000a64,0000021800000218,4722,261,2,0.0,2021/06/17 16:17:08:004
807008,60cb5b0ead17394ee5001148,0000021800000218,4711,269,2,0.0,2021/06/17 16:17:10:379
840201,60cb5f31ad17394ee50092f1,0000021400000214,4324,766,2,4.0,2021/06/17 16:02:26:357
841403,60cb5f57ad17394ee50097a3,0000021400000214,4324,764,2,4.0,2021/06/17 16:03:09:559
843956,60cb5fb1ad17394ee500a19c,0000021800000218,4700,282,2,0.0,2021/06/17 16:17:16:202
844350,60cb5fbcad17394ee500a326,0000021800000218,4718,263,2,0.0,2021/06/17 16:18:19:191
845746,60cb5fe9ad17394ee500a89a,0000021800000218,4726,255,2,0.0,2021/06/17 16:18:20:408
852226,60cb60b7ad17394ee500c1ea,0000021800000218,4733,254,2,0.0,2021/06/17 16:19:49:119
899454,60cb65e4ad17394ee5017a66,0000021800000218,4739,255,2,0.0,2021/06/17 16:20:45:102
